"article_cond","SID","article_number","exclude_item","topic","n_words","msg_rel_self","msg_rel_social","msg_share_broad","msg_share_narrow"
"control","BB-W1-0550",12,0,"climate",NA,23,24,2,21
"control","BB-W1-0550",13,0,"climate",NA,20,19,4,22
"control","BB-W1-0550",24,0,"climate",NA,8,12,1,17
"control","BB-W1-0553",1,0,"climate",NA,53,53,6,4
"control","BB-W1-0553",6,0,"climate",NA,79,79,9,8
"control","BB-W1-0553",16,0,"climate",NA,71,68,12,12
"control","BB-W1-0553",18,0,"climate",NA,73,73,19,18
"control","BB-W1-0553",20,0,"climate",NA,92,88,19,28
"control","BB-W1-0570",3,0,"climate",NA,51,50,0,88
"control","BB-W1-0570",14,0,"climate",NA,20,20,10,20
"control","BB-W1-0570",23,0,"climate",NA,50,39,4,69
"control","BB-W1-0570",25,0,"climate",NA,50,47,0,5
"control","BB-W1-0570",26,0,"climate",NA,77,79,0,96
"control","BB-W1-0575",2,0,"climate",NA,46,41,24,14
"control","BB-W1-0575",7,0,"climate",NA,55,66,63,15
"control","BB-W1-0575",15,0,"climate",NA,97,96,95,42
"control","BB-W1-0575",20,0,"climate",NA,95,95,75,10
"control","BB-W1-0575",24,0,"climate",NA,96,95,85,15
"control","BB-W1-0579",1,0,"climate",NA,4,23,1,7
"control","BB-W1-0579",3,0,"climate",NA,12,15,5,11
"control","BB-W1-0579",9,0,"climate",NA,40,70,10,20
"control","BB-W1-0579",14,0,"climate",NA,25,30,48,25
"control","BB-W1-0579",21,0,"climate",NA,23,34,26,26
"control","BB-W1-0611",1,0,"climate",NA,16,14,23,24
"control","BB-W1-0611",2,0,"climate",NA,35,33,23,24
"control","BB-W1-0611",3,0,"climate",NA,57,51,60,65
"control","BB-W1-0611",21,0,"climate",NA,37,36,45,45
"control","BB-W1-0611",26,0,"climate",NA,38,27,4,6
"control","BB-W1-0626",5,0,"climate",NA,10,12,8,10
"control","BB-W1-0626",14,0,"climate",NA,15,14,6,0
"control","BB-W1-0626",17,0,"climate",NA,66,66,8,20
"control","BB-W1-0626",23,0,"climate",NA,42,44,65,45
"control","BB-W1-0626",24,0,"climate",NA,91,92,71,28
"control","BB-W1-0632",2,0,"climate",NA,3,3,0,8
"control","BB-W1-0632",16,0,"climate",NA,0,29,0,53
"control","BB-W1-0632",18,0,"climate",NA,50,50,0,24
"control","BB-W1-0632",24,0,"climate",NA,100,100,0,31
"control","BB-W1-0632",25,0,"climate",NA,100,100,0,53
"control","BB-W1-0635",14,0,"climate",NA,85,85,5,1
"control","BB-W1-0635",17,0,"climate",NA,100,100,80,50
"control","BB-W1-0635",18,0,"climate",NA,100,100,50,20
"control","BB-W1-0635",19,0,"climate",NA,100,100,90,76
"control","BB-W1-0635",20,0,"climate",NA,25,70,1,1
"control","BB-W1-0636",3,0,"climate",NA,60,60,0,0
"control","BB-W1-0636",14,0,"climate",NA,70,70,0,0
"control","BB-W1-0636",15,0,"climate",NA,50,50,0,0
"control","BB-W1-0636",17,0,"climate",NA,75,75,60,70
"control","BB-W1-0636",24,0,"climate",NA,50,50,0,0
"control","BB-W1-0638",3,0,"climate",NA,0,0,0,0
"control","BB-W1-0638",5,0,"climate",NA,8,7,0,0
"control","BB-W1-0638",15,0,"climate",NA,23,24,0,0
"control","BB-W1-0638",16,0,"climate",NA,0,0,0,0
"control","BB-W1-0638",18,0,"climate",NA,19,18,0,0
"control","BB-W1-0642",3,0,"climate",NA,0,4,0,8
"control","BB-W1-0642",15,0,"climate",NA,0,4,0,51
"control","BB-W1-0642",21,0,"climate",NA,0,8,0,8
"control","BB-W1-0642",23,0,"climate",NA,0,17,0,0
"control","BB-W1-0642",24,0,"climate",NA,0,4,0,10
"control","BB-W1-0643",3,0,"climate",NA,14,24,0,2
"control","BB-W1-0643",6,0,"climate",NA,16,10,0,0
"control","BB-W1-0643",8,0,"climate",NA,39,61,0,0
"control","BB-W1-0643",10,0,"climate",NA,35,55,0,0
"control","BB-W1-0643",13,0,"climate",NA,0,0,0,0
