"SID","article_cond","article_number","topic","n_articles","msg_rel_self","msg_rel_social","msg_share","sharing_type","sharing_type_key","sharing_behavior","n_words"
"s056","self",109,"health",8,0,70,0,1,"msg_share_broad",0,14
"s057","other",41,"health",3,0,0,0,1,"msg_share_broad",0,28
"s057","self",81,"climate",3,100,90,60,1,"msg_share_broad",0,26
"s057","control",3,"health",3,0,0,0,1,"msg_share_broad",0,34
"s058","self",11,"climate",25,0,0,0,1,"msg_share_broad",0,9
"s058","control",97,"health",25,60,70,40,1,"msg_share_broad",0,8
"s058","other",53,"climate",25,0,10,0,1,"msg_share_broad",0,14
"s058","control",19,"health",25,40,80,20,1,"msg_share_broad",0,14
"s058","other",61,"climate",25,0,20,0,1,"msg_share_broad",0,7
"s058","self",33,"health",25,90,60,30,1,"msg_share_broad",0,10
"s058","control",43,"health",25,60,80,0,1,"msg_share_broad",0,12
"s058","self",6,"health",25,0,10,0,1,"msg_share_broad",0,16
"s058","other",99,"climate",25,20,30,50,1,"msg_share_broad",0,7
"s058","control",73,"health",25,0,30,0,1,"msg_share_broad",0,7
"s058","self",12,"climate",25,60,60,30,1,"msg_share_broad",0,10
"s058","control",105,"health",25,10,70,0,1,"msg_share_broad",0,13
"s058","other",98,"climate",25,0,20,0,1,"msg_share_broad",0,13
"s058","control",64,"health",25,0,60,30,1,"msg_share_broad",0,8
"s058","other",104,"climate",25,0,10,0,1,"msg_share_broad",0,8
"s058","self",17,"health",25,70,40,30,1,"msg_share_broad",0,7
"s058","other",27,"climate",25,60,70,30,1,"msg_share_broad",0,10
"s058","control",48,"health",25,0,10,0,1,"msg_share_broad",0,7
